Company,Website,LinkedIn (public),LinkedIn,Industry,Est. employee range,Employee range,Why it fits,Trigger event,Public trigger signal,Public trigger signal(s),Trigger signal,Likely immigration need,Likely visa/compliance need,Likely decision-maker title,Likely buyer,Procurement risk,Score /100,Score,Heat,Confidence,_source
**Hadrian**,https://www.hadrian.co/,,,Advanced manufacturing / aerospace tech,,"~500–1,500 (inferred)",Rapid manufacturing scale-up implies specialized engineering hiring and compliance complexity,Announced **$260M Series C** and CA/AZ footprint expansion (Jul 2025) + Mesa factory opening (2026),,,,,H-1B for manufacturing/software engineers; PERM; I-9 for multi-facility operations,VP HR / COO / GC,,Medium-High,89,,Hot,High,intel_leads_batch3.md
**ICON**,https://www.iconbuild.com/,,,Specialty construction technology,,~200–500 (inferred),Tier 1 specialty-construction fit; field + R&D hiring mix creates real employer-side immigration need,Raised **$56M Series C** (Feb 2025) + continued neighborhood-scale deployments,,,,,H-1B for robotics/software/materials roles; PERM for core technical retention,VP People / Head of Talent / COO,,Medium,87,,Hot,High,intel_leads_batch3.md
**Twelve**,https://www.twelve.co/,,,"Climate/industrial technology (e-fuels, carbon conversion)",,~200–500 (inferred),Engineering-heavy scale in U.S. manufacturing context; likely international talent competition,Added **$85M Series C + project funding** (Mar 2025) after prior $645M financing; first SAF plant execution,,,,,H-1B for electrochem/process/software talent; O-1 for niche experts; PERM,VP People / VP Operations,,Medium,88,,Hot,High,intel_leads_batch3.md
**Antora Energy**,https://www.antora.com/,,,Thermal battery / manufacturing,,~200–500 (inferred),Manufacturing + deep-tech hiring pressure with high specialization,Announced **$150M Series B** to scale U.S. production and industrial deployment,,,,,H-1B for materials/manufacturing engineering; TN where applicable; PERM,Head of People / VP Manufacturing Ops,,Medium,84,,Warm,Medium-High,intel_leads_batch3.md
**Quaise Energy**,https://www.quaise.energy/,,,Geothermal technology,,~100–300 (inferred),Tier 1/2 energy fit with scarce drilling + power talent profiles,Public updates on 2025 milestones + prior funding to expand field operations and supply chain,,,,,H-1B for drilling/physics/software roles; O-1 for distinguished specialists,COO / VP Operations / HR Director,,Medium,82,,Warm,Medium,intel_leads_batch3.md
**Abridge**,https://www.abridge.com/,,,Healthcare AI / IT,,"~500–1,500 (inferred)",High-growth IT employer with sustained enterprise scaling and technical hiring urgency,"Raised **$250M Series D** (Feb 2025) and **$300M Series E** (Jun 24, 2025), with broad U.S. deployments",,,,,H-1B for AI/NLP/infra roles; PERM for key retention; compliance support,Chief People Officer / VP Talent,,Medium-High,86,,Hot,High,intel_leads_batch3.md
**Hippocratic AI**,https://www.hippocraticai.com/,,,Healthcare AI,,~200–500 (inferred),Fast-scaling healthcare AI company with specialized talent requirements,Public funding sequence through 2024–2025 and active hiring/careers growth,,,,,H-1B for ML/product/clinical informatics; O-1 for high-end specialists,VP People / Head of Talent / GC,,Medium,83,,Warm,Medium-High,intel_leads_batch3.md
**Ascend Elements**,https://ascendelements.com/,,,Battery materials manufacturing,,"~1,000–2,000 (inferred)",Manufacturing + cross-border expansion profile suggests structured mobility/compliance need,2025 milestones: commercial-scale critical minerals output + Europe expansion grant support,,,,,H-1B/TN for process and chemical engineering; PERM; site-level I-9 governance,VP HR / VP Ops / GC,,Medium-High,85,,Hot,Medium-High,intel_leads_batch3.md
**Sublime Systems**,https://sublime-systems.com/,,,Low-carbon cement / specialty construction materials,,~100–300 (inferred),Strong specialty-construction materials fit with advanced process engineering demand,Strategic investments from CRH/Holcim and first commercial-facility scale-up plans,,,,,H-1B for electrochemical/process engineers; PERM; expansion compliance setup,Head of People / COO,,Medium,80,,Warm,Medium,intel_leads_batch3.md
**Mainspring Energy**,https://www.mainspringenergy.com/,,,Energy technology / linear generators,,~200–500 (inferred),Renewable/industrial energy employer with engineering-heavy hiring profile,Public project deployments and growth partnerships plus manufacturing scale signals,,,,,H-1B for mechanical/electrical/software engineers; PERM for key roles; compliance scaling,VP People / VP Operations,,Medium,79,,Warm,Medium,intel_leads_batch3.md
**Tractian**,https://tractian.com/,,,Industrial AI / manufacturing software,,"~500–1,000 (inferred)",High-growth industrial tech with global customer base and technical hiring intensity,,,,**$120M Series C (Dec 2024)** and explicit plan to add engineering/data talent in 2025,H-1B for software/data/mechanical roles; PERM retention; I-9 maturity as hiring scales,,,VP Talent / Head of People / COO,Medium,91,,Hot,High,intel_leads_batch4.md
**Cenosco**,https://cenosco.com/,,,Asset integrity SaaS (oil & gas / chemicals / power),,~200–500 (inferred),Direct oil & gas-adjacent enterprise software fit with global deployments,,,,**Growth investment led by Summit Partners (Mar 2025)** to accelerate product + international expansion + team growth,H-1B/L-1/TN for global engineering and customer-delivery roles; compliance governance,,,VP People / GC / Head of Ops,Medium,90,,Hot,High,intel_leads_batch4.md
**Corva**,https://www.corva.ai/,,,Oil & gas AI / drilling software,,~200–500 (inferred),Tier 1 oil & gas + IT crossover with clear digital-transformation momentum,,,,Strategic alliance expansion with Nabors (2025) and global rig platform integrations,H-1B for AI/software/drilling analytics; TN/L-1 for cross-border specialist mobility,,,COO / VP Operations / VP People,Medium,88,,Hot,Medium-High,intel_leads_batch4.md
**Document Crunch**,https://www.documentcrunch.com/,,,Construction AI / contract intelligence,,~100–300 (inferred),Specialty construction + AI with clear compliance and risk-management problem set,,,,**Series A $9M (Feb 2024)** and product expansion focused on compliance workflows,H-1B for NLP/AI/product; PERM for key engineering/legal-tech staff,,,Head of Talent / VP People / COO,Low-Med,87,,Hot,High,intel_leads_batch4.md
**nPlan**,https://www.nplan.io/,,,Construction schedule risk AI,,~100–300 (inferred),Specialty construction and capital-project optimization with global expansion signals,,,,**Series B $16M (Nov 2025)** and announced growth in North America + international markets,H-1B/L-1 for AI and delivery teams; PERM for technical continuity,,,VP People / Head of North America,Medium,86,,Hot,High,intel_leads_batch4.md
**Briq**,https://www.briq.com/,,,Construction finance automation software,,~100–300 (inferred),Specialty construction back-office automation; growth-stage company with labor-shortage narrative,,,,Funding extension in 2024 and sustained AI platform buildout in construction workflows,H-1B for software/data/product roles; PERM for core team retention,,,VP Talent / Head of People,Medium,84,,Warm,Medium-High,intel_leads_batch4.md
**TAE Technologies**,https://tae.com/,,,Fusion energy / advanced engineering,,"~500–1,500 (inferred)",Renewable/deep-tech employer with high specialization and long-horizon commercialization,,,,**Raised $150M (Jun 2025)** and announced reactor-readiness milestones,H-1B/O-1 for plasma/physics/controls talent; PERM; compliance framework,,,GC / VP People / COO,Medium-High,85,,Warm-Hot,High,intel_leads_batch4.md
**Type One Energy**,https://typeoneenergy.com/,,,Fusion energy,,~200–500 (inferred),Strong growth + commercialization steps with public utility partner,,,,Cooperative/project agreements with TVA (2025) + funding momentum reported in 2026,H-1B/O-1 for fusion engineering; TN/L-1 where cross-border experts are used,,,COO / VP Engineering Ops / HR Lead,Medium,83,,Warm,Medium-High,intel_leads_batch4.md
**Apptronik**,https://apptronik.com/,,,Robotics / AI,,"~500–1,000 (inferred)",IT/manufacturing crossover with major capital infusion and scaling pressure,,,,**$350M Series A (Feb 2025)** and strategic platform partnerships,H-1B/O-1 for robotics/AI specialists; PERM for core engineering teams,,,VP Talent / CPO / COO,Medium,86,,Hot,Medium-High,intel_leads_batch4.md
**RealSense**,https://www.realsense.ai/,,,3D perception / robotics vision,,~200–500 (inferred),Spin-out creates net-new HR/legal infrastructure needs while scaling production and sales,,,,Completed Intel spin-out + **$50M Series A (Jul 2025)**,H-1B for CV/embedded/software; L-1 for imported leadership/technical staff,,,Head of People / GC / COO,Medium,85,,Warm-Hot,Medium-High,intel_leads_batch4.md
**ALICE Technologies**,https://www.alicetechnologies.com/,,,Construction scheduling AI,,~100–300 (inferred),Specialty construction planning tech with international project focus,,,,Extended Series B capital access and ongoing enterprise construction rollout activity,H-1B/L-1 for AI solutions engineering and project-delivery talent,,,VP People / Director Talent,Medium,82,,Warm,Medium,intel_leads_batch4.md
**Partner Robotics**,https://www.partnerrobotics.com/,,,Construction robotics,,~50–200 (inferred),Specialty construction automation with explicit global deployment ambitions,,,,Public Series A announcement tied to worldwide construction-site deployment,H-1B for robotics/control engineers; L-1 for international team movement,,,COO / Founder / HR Lead,Low-Med,80,,Warm,Medium,intel_leads_batch4.md
